nombre;descripcion;m2_construidos;m2_totales;n_estacionamientos;n_habitaciones;n_baños;precio;moneda;fecha_creacion;calle;numero;ciudad_id;codigo_postal;latitud;longitud;disponible;fecha_actualizacion;tipo_inmueble_id;propietario_id
Casa Bella;Hermosa casa con jardín;120;200;2;3;2;250000.00;USD;;Calle Principal;123;1;12345;-33.4569;-70.6483;1;;1;1
Departamento Moderno;Departamento céntrico con terraza;80;100;1;2;2;180000.00;USD;;Av. Alameda;456;1;12345;-33.4568;-70.6490;1;;2;2
Casa Familiar;Casa amplia y luminosa;150;250;2;4;3;300000.00;USD;;Calle Los Robles;789;2;23456;-33.4580;-70.6495;1;;1;3
Casa Rural;Casa en zona tranquila;100;300;1;3;1;200000.00;USD;;Camino Rural;12;3;34567;-33.4570;-70.6475;1;;1;4
Loft Urbano;Loft moderno y funcional;50;70;0;1;1;120000.00;USD;;Calle del Sol;34;4;45678;-33.4565;-70.6468;1;;2;5
Casa de Lujo;Residencia con acabados premium;300;500;4;5;4;1000000.00;USD;;Av. Las Palmeras;567;5;56789;-33.4590;-70.6498;1;;1;6
Departamento Compacto;Ideal para parejas jóvenes;60;80;1;2;1;150000.00;USD;;Calle del Mar;98;6;67890;-33.4550;-70.6450;1;;2;7
Casa Histórica;Propiedad con valor patrimonial;200;400;3;5;2;500000.00;USD;;Calle Antiguo;135;7;78901;-33.4567;-70.6500;1;;1;8
Cabaña Alpina;Cabaña en zona montañosa;90;150;2;3;2;220000.00;USD;;Camino Nevado;45;8;89012;-33.4575;-70.6457;1;;1;9
Estudio Acogedor;Pequeño estudio amoblado;40;50;0;1;1;100000.00;USD;;Calle Luna;56;9;90123;-33.4562;-70.6462;1;;2;10
Penthouse Exclusivo;Vistas panorámicas a la ciudad;250;300;3;4;3;800000.00;USD;;Av. Skyline;789;10;10234;-33.4595;-70.6505;1;;2;11
Casa Tradicional;Casa en barrio residencial;120;200;2;3;2;240000.00;USD;;Calle Armonía;321;11;11234;-33.4583;-70.6481;1;;1;12
Villa Campestre;Propiedad rodeada de naturaleza;180;400;3;4;3;400000.00;USD;;Camino Verde;654;12;12345;-33.4579;-70.6472;1;;1;13
Departamento Costero;Frente al mar con balcón;70;90;1;2;2;250000.00;USD;;Calle Marina;890;13;13456;-33.4559;-70.6448;1;;2;14
Casa Minimalista;Estilo moderno y minimalista;140;220;2;3;2;350000.00;USD;;Av. Simplicidad;345;14;14567;-33.4561;-70.6460;1;;1;15
